claim,label,language,source,url
"Mohammad Firoz was harassing girls outside the school, Police gave him B£LT Treatment pic.twitter.com/yrW8YrSjuO — Hindutva Don (@HindutvaDon_) April 3, 2026",MISLEADING,en,altnews,https://www.altnews.in/hindi/old-video-of-accused-being-publicly-beaten-by-gujarat-police-shared-with-false-communal-claim/
"ऑल्ट न्यूज को सब्सक्राइब करने के लिए अपना ईमेल एड्रेस दर्ज करें और ईमेल द्वारा नई पोस्ट की सूचनाएं प्राप्त करें। सब्सक्राइब करने के बाद कृपया अपना ईमेल चेक करें, आपको एक कन्फर्मेशन ईमेल प्राप्त होगा। इस सब्सक्रिप्शन की पुष्टि के लिए आपको 'कन्फर्म फॉलो' बटन पर क्लिक करना होगा। यहाँ सब्सक्राइब करने के बाद अपने ईमेल इनबॉक्स में 'कन्फर्म फॉलो' बटन पर क्लिक करना मत भूले।",MISLEADING,hi,altnews,https://www.altnews.in/hindi/subscribe-alt-news-via-email/
Alt News continuously monitors social media and mainstream media for incorrect and/or dubious information. Our sources for topics include:,FALSE,en,altnews,https://www.altnews.in/methodology-for-fact-checking/
Independent journalism that speaks truth to power and is free of corporate and political control is possible only when people start contributing towards the same. Please consider donating towards this endeavour to fight fake news and misinformation.,MISLEADING,en,altnews,https://www.altnews.in/modi-lookalikes-video-falsely-shared-as-pm-called-out-in-rourkela-over-lpg-crisis/
"पाकिस्तान के कलाकारों का बहिष्कार हुआ तो मे देश छोडुंगा -शाहरुख खान — Sumaira Khan (@Sumairakhan_) February 22, 2019",MISLEADING,hi,altnews,https://www.altnews.in/no-shah-rukh-khan-did-not-say-he-will-leave-india-if-pakistani-artists-are-banned/
"S. Swaraj launched ‘Passport Sewa’ app on 27 June showing date 5 june by changing rules to save Sadia Anas Siddiqui & to hide her mistake. Fake Data produced showing it’s downloaded 10 Lakh times but actually it was crashed. — Prashant Patel Umrao (@ippatel) July 3, 2018",MISLEADING,en,altnews,https://www.altnews.in/prashant-patel-jagrati-shukla-fake-news-tanvi-seth-passport/
"There was No Rape in #Kathua case, says both Medical reports. she was murdered somewhere else & her body was thrown in Rasana Village. Whole conspiracy to defame Hindus is exposed. pic.twitter.com/3bMG6yDUX9 — Prashant Umrao (@ippatel) April 20, 2018",MISLEADING,en,altnews,https://www.altnews.in/prashant-patel-umrao-fake-news-compilation/
Investigating OpenSecrets.org and Business Insider,MISLEADING,en,altnews,https://www.altnews.in/sonia-gandhi-richer-than-queen-elizabeth-ii-6-year-old-misreport-shared-by-bjp-members/
Sourcing of information depends on the kind of stories Alt News tackles as part of its fact checking exercise.,MISLEADING,en,altnews,https://www.altnews.in/sourcing-of-information/
"ALSO READ: Uttam Nagar on edge after Tarun Kumar’s death: Claims, counterclaims fuel rising communal tensions",MISLEADING,en,altnews,https://www.altnews.in/viral-uttam-nagar-video-man-hurling-abuses-and-calling-for-violence-against-muslims-is-a-bjp-functionary/
Anti-climactic ending to an exaggerated plotline,MISLEADING,en,altnews,https://www.altnews.in/an-anticlimactic-end-to-right-wing-outrage-about-the-bengali-play-hindu-chor/
"#Qatar government will construct Two main roads from #Mogadishu to #Afgoye & From #Mogadishu to #Jowhar This is the plan for that roads. pic.twitter.com/XXLq62eWUB — Mogadishu Update (@Mogadishuupdate) December 2, 2017",MISLEADING,en,altnews,https://www.altnews.in/bjp-rajasthan-tweets-image-of-poland-motorway-as-newly-constructed-national-highway-in-rajasthan/
image on the left was that of the Lucknow-Agra expressway (2015),MISLEADING,en,altnews,https://www.altnews.in/bjp-uses-misleading-images-to-showcase-western-peripheral-expressway/
"बुआ के गोद में बैठने से चचाजान नाराज हुए, आजम खान बोले मोदी को सीधे वोट दो pic.twitter.com/GpJeSydJwi — प्रवीण कुमार दीक्षित (@IPraveenDixit) January 13, 2019",MISLEADING,hi,altnews,https://www.altnews.in/did-sp-leader-azam-khan-ask-muslims-to-vote-for-bjp-after-sp-bsp-coalition/
"प्रधानमंत्री बनने की सोच रखने वाला कंजरी अली का बस चले तो दिल्ली को भी बेच दी pic.twitter.com/wAxIJkm6Ei — RaviNEGI4BJP (@ravinegi4bjp) June 23, 2018",MISLEADING,hi,altnews,https://www.altnews.in/fake-quote-ascribed-to-delhi-cm-kejriwal-claims-he-said-india-should-give-up-kashmir/
2. Randeep Surjewala: “Islam permits rape”,MISLEADING,en,altnews,https://www.altnews.in/fake-quotes-congress-leaders-mandsaur-rape/
Misinformed social media claims lead to backlash against defending lawyer,MISLEADING,en,altnews,https://www.altnews.in/false-claim-muslim-lawyer-community-filed-petition-in-sc-against-hindu-ritual-mata-ki-chowki/
Circulated by many users followed by senior BJP leaders,MISLEADING,en,altnews,https://www.altnews.in/no-the-woman-in-uniform-standing-next-to-nirmala-sitharaman-is-not-her-daughter/
"महारानी की राजस्थान पुलिस और अधिकारियों का घिनौना चेहरा इस वीडियो में साफ दिख रहा है , अपना हक मांगने आए लोगों पर लाठियाँ और अत्याचार किए जा रहे है। @narendramodi जी अब राजस्थान के युवा आपको एक चैलेंज देते हे ,वीडियो देखिए और सरकार और पुलिस और SDM पर कार्यवाही कीजिए !है हिम्मत ? pic.twitter.com/BIJcEltF1q — Pawan Godara (@PawanGodaraRJ) June 17, 2018",MISLEADING,hi,altnews,https://www.altnews.in/rajasthan-congress-committee-gen-sec-shares-police-lathi-charge-video-from-aligarh-as-rajasthan/
"कश्मीर की बर्फ़बारी में फँसे कांग्रेस नेता ने सेना से माँगी मदद, सेना ने माँगा फँसे होने का सबूत https://t.co/lD4htdVRQE — Faking News (@fakingnews) March 18, 2019",MISLEADING,hi,altnews,https://www.altnews.in/social-media-users-fall-for-satire-on-congress-minister-stuck-in-snow/
"Raveena Tandon enlightens and slams bigoted moron Raj Nayak, who made false claim that even after centuries long #Mughal invasion, India did not become Islamic country & #Hindus have been safe ! @rajcheerfull @TandonRaveena pic.twitter.com/6fyf75Ki0M — Prashant Swami (@Prashant_Swami) April 11, 2019",MISLEADING,en,altnews,https://www.altnews.in/viral-fake-quote-ascribed-to-raveena-tandon-circulates-on-social-media/
Also circulated with an altered narrative,MISLEADING,en,altnews,https://www.altnews.in/was-nehru-thrashed-by-a-mob-in-1962-after-failure-on-china-war/
"Alt News is committed to fact-checking in a fair, transparent and non-partisan manner. We strive for high editorial standards and adhere by the following guidelines:",FALSE,en,altnews,https://www.altnews.in/editorial-policy/
"Our team, who has worked voluntarily for the most part since its inception, consists of engineers, social activists, journalists and scientists. Hence, we have the capacity to cover various news from politics, legal issues, caste-based and religious discrimination, gender rights, labour & farmer struggles, as well as health and medicine-related misinformation.",MISLEADING,en,altnews,https://www.altnews.in/editorial-team/
"Enter your email address to subscribe to Alt News and receive notifications of new posts via email. Please check your email after subscribing here, you would have received a confirmation email. You have to click on the 'Confirm Follow' button to enable the subscriptions. Do not forget to click on the 'Confirm Follow' button in your Inbox after subscribing here.",MISLEADING,en,altnews,https://www.altnews.in/subscribe-alt-news-via-email/
Politics,MISLEADING,en,altnews,https://www.altnews.in/topics/politics/
"*चाइना में अल्लाह के फजलों करम से एक भी मुस्लिम कोरोना वाइरस की चपेट में नहीं आया है इसका राज पांच वक्त की नमाज़ हैं अब नॉन मुस्लिम भी नमाज़ पढ़ने पहुंचे जबकि उनको ये भी मालूम नहीं है कि नमाज़ किस दिशा में चेहरा करके पढ़ी जाती है जिसको जहां जगह मिली वहां नमाज़ पढ़ने खड़ा हो गया।* pic.twitter.com/tDobKKgx6l — NIKHAT KHAN (@Nikhat69) February 10, 2020",MISLEADING,hi,altnews,https://www.altnews.in/a-video-is-viral-with-false-claim-that-non-muslims-are-offering-namaz-for-protection-against-coronavirus/
"આજ રોજ ડાંગ જીલ્લા ના વઘઇ તાલુકામાં આમ આદમી પાર્ટી લીગલ સેલ પ્રમુખ ડાંગ, ના નેતૃત્વ માં કાર્ય કરો સાથે પોસ્ટર અભિયાન કરવામાં આવ્યું.. #હવે_બદલાશે_ગુજરાત pic.twitter.com/mvydW7KPRL — AAP DANG DISTRICT | #Mission2022 (@AAP_Dang) July 10, 2021",MISLEADING,en,altnews,https://www.altnews.in/morphed-billboard-shows-aap-promoting-namaz-discouraging-hindu-prayers-in-gujarat/
"खुल कर करेंगे तेरे जुल्म की मुखालफत, तुम इस वक़्त के शहंशाह हो, मेरे मुल्क के खुदा नहीं। #BoycottBJP pic.twitter.com/JoTasY9CrI — Chaudhary Rohit Singh Yadav (@BeingRohitYadav) January 27, 2021",MISLEADING,hi,altnews,https://www.altnews.in/old-picture-of-sikh-man-beatun-up-shared-as-police-brutality-on-protesting-farmer/
"Sharing deeply distressing, heart wrenching visuals from #FarmersProtestHijacked . Two old Women were killed & three badly Injured when a tractor ran over them. Not just the protesters, even those who are supporting them have blood on their hands!! pic.twitter.com/1LHPruIAqe — Priti Gandhi – प्रीति गांधी (@MrsGandhi) January 28, 2021",MISLEADING,hi,altnews,https://www.altnews.in/video-of-water-tanker-running-over-women-protestors-shared-with-false-claims/
"Provided that it shall not include, nor shall ever have been so included, persons with different sexual orientations and self-perceived sexual identities",MISLEADING,en,altnews,https://www.altnews.in/from-self-identification-to-state-control-trans-voices-raise-alarm-over-new-law/
Days after Alt News broke through the Election Commission of India ’s barriers to access Special Intensive Revision data — revealing that in Bhabanipur and Ballygunge a Muslim voter was 3.1 times more likely to be marked “Under Adjudication” than a Hindu voter — we extended the same exercise to four more constituencies.,MISLEADING,en,altnews,https://www.altnews.in/four-more-bengal-constituencies-same-pattern-muslims-disproportionately-marked-under-adjudication-in-sir/
आप हमसे इस ईमेल एड्रेस पर सम्पर्क कर सकते हैं – contact@altnews.in,MISLEADING,hi,altnews,https://www.altnews.in/hindi/contact/
हम FCRA अधिनियम के तहत पंजीकृत नहीं है और केवल भारतीय नागरिकों/निवासियों के द्वारा डोनेशन स्वीकार कर सकते हैं।,MISLEADING,hi,altnews,https://www.altnews.in/hindi/donate/
Home,MISLEADING,en,altnews,https://www.altnews.in/hindi/home/
तकनीकी,MISLEADING,hi,altnews,https://www.altnews.in/hindi/topics/%e0%a4%a4%e0%a4%95%e0%a4%a8%e0%a5%80%e0%a4%95%e0%a5%80/
शिक्षा,MISLEADING,hi,altnews,https://www.altnews.in/hindi/topics/education/
अर्थव्यवस्था,MISLEADING,hi,altnews,https://www.altnews.in/hindi/topics/finance/
समाचार,MISLEADING,hi,altnews,https://www.altnews.in/hindi/topics/news/
राजनीति,MISLEADING,hi,altnews,https://www.altnews.in/hindi/topics/politics/
धर्म,MISLEADING,hi,altnews,https://www.altnews.in/hindi/topics/religion/
समाज,MISLEADING,hi,altnews,https://www.altnews.in/hindi/topics/society/
खेल,MISLEADING,hi,altnews,https://www.altnews.in/hindi/topics/sports/
not have any effect on banking activities,MISLEADING,en,altnews,https://www.altnews.in/no-banks-will-not-remain-closed-in-the-first-week-of-september-as-claimed-by-viral-whatsapp-forward/
Compilation,MISLEADING,en,altnews,https://www.altnews.in/topics/compilation/
"Mexico MP Antonio Garcia undressed in parliament and said, ” you are ashamed to see me naked and you are not ashamed of your people whose money you have striped , plundered and stolen so that you can live in complete luxury with high wages and enjoy with your families” pic.twitter.com/agvvpLu9Rp — MuthuiMkenya (@MuthuiMkenya) October 12, 2020",MISLEADING,en,altnews,https://www.altnews.in/2013-image-of-mexican-mp-protesting-energy-bill-viral-with-misleading-claims/
The report mentions that they were charged under the SC/ST Act and tried in a POCSO court.,MISLEADING,en,altnews,https://www.altnews.in/2019-video-from-up-gangrape-shared-as-bihar-with-communal-angle/
"three out of the seven fact-checking partners of Facebook – India Today, Dainik Jagran and Newsmobile – have been found circulating misinformation",MISLEADING,en,altnews,https://www.altnews.in/3-out-of-facebooks-7-fact-checking-partners-have-shared-misinformation-post-pulwama/
"हिंदू बेटीयो की वेदना, अब्दुल-आफ़ताब से मिल रही प्यार की सज़ा… सत्य घटना पर आधारित कहानी #TheKeralaStory ज़रूर देखे और अपनी बेटी के साथ बैठकर देखे…!! प्यार की आड़ में हो रहा व्यापार है ये कोई लव नहीं मेरी जान, ये #लव_Gहाद है। pic.twitter.com/w4auDIvfp9 — Kajal HINDUsthani (@kajal_jaihind) April 25, 2023",MISLEADING,hi,altnews,https://www.altnews.in/32000-kerala-women-in-isis-misquotes-flawed-math-imaginary-figures-behind-filmmakers-claim/
"यूपी के बुलंदशहर में जिहादियों का नंगा नाच, 5 मंदिरों की मुर्तियां सहित शिवलिंग को तोड़ा। बड़ा सवाल, आखिर हिंदुस्थान में कब बंद होगा हिंदू मंदिरों पर तालिबानी आतंक! pic.twitter.com/jypqpBH5hG — हम लोग We The People (@ajaychauhan41) June 1, 2023",MISLEADING,hi,altnews,https://www.altnews.in/4-hindus-held-for-bulandshahr-temple-vandalism-videos-viral-with-misleading-communal-claims/
"बेंगलुरु के किसानों ने अपना खुद का सुपर मार्केट तैयार कर लिया है इन किसानों से हमें भी कुछ सीखना होगा #12_दिसंबर_को_टोल_प्लाजा_बंद #isupportfarmersprotest #FarmerProtests #Delhi #kisanektazindabad pic.twitter.com/RPHWxaWfKE — Journalist Sonu Pandat (@100nujournalist) December 12, 2020",MISLEADING,hi,altnews,https://www.altnews.in/a-set-of-images-shared-with-false-claim-that-newly-made-super-market-run-by-farmers-in-bangluru/
"State of Dalits in India. pic.twitter.com/glLc3fCpoV — Jas Oberoi | ਜੱਸ ਓਬਰੌਏ (@iJasOberoi) April 5, 2023",MISLEADING,en,altnews,https://www.altnews.in/a-video-from-rajasthan-forcing-boy-to-drink-water-from-a-shoe-shared-with-false-caste-angle/
"छत पर कुटाई वाली कार्रवाई और नीचे सङक पर बुलङोजर वाली कार्रवाई UP के कानपुर में कुछ जेहादी ने छत से हिन्दुओं और पुलिस पर पथराव किया। इसके बाद कुछ बहादुर पुलिस ने बिना सीढी ही छत पर जाकर पकड़ लिया और घूंसे लाठियां बरसा कर उनकी दिवाली हैप्पी कर दी ,और बिल्डिंग भी तोड़ दिया pic.twitter.com/pYII0ujyGG — ɨʀօռʍօռᏦ 002 (@IRONMONK002) October 26, 2022",MISLEADING,hi,altnews,https://www.altnews.in/a-video-of-cops-beating-up-two-men-in-kanpur-dehat-falsely-shared-with-communal-angle/
"यह देखो लव जिहादी हिंदू बच्चियों को केसे डरा धमका कर अपने जाल में फंसाते है अगर किसी भी बच्ची को कोई भी इस प्रकार से धमकाए तो डरने की जरूरत नही है तुरंत अपने घर वालो को जानकारी देकर पुलिस में रिपोर्ट दर्ज कराए*तो यह लोग अपने मकसद में कामयाब नही हो पाएंगे pic.twitter.com/9FTTZ9Xnio — योगी योगेश अग्रवाल (धर्मसेना) (@yogeshDharmSena) July 27, 2022",MISLEADING,hi,altnews,https://www.altnews.in/a-video-of-youth-threating-girlfrind-with-knife-in-indore-shared-with-false-communal-angle/
Trigger Warning: The following story contains graphic imagery.,MISLEADING,en,altnews,https://www.altnews.in/a-womans-body-discovered-in-a-trolley-bag-in-yamuna-expressway-is-a-case-of-honour-killing/
"15-year-old Manoj Negi from Uttarakhand stabbed to death in Delhi for standing up against Muslim goons trying to molest his sister. pic.twitter.com/MUZ1qoaynS — Neha Joshi (@The_NehaJoshi) October 29, 2022",MISLEADING,en,altnews,https://www.altnews.in/accused-in-17-yr-olds-murder-in-delhi-not-muslims-false-claim-viral-on-social-media/
READ: Nuns out on bail; ‘police excess’ & Bajrang Dal’s role in Chhattisgarh case under scanner,MISLEADING,en,altnews,https://www.altnews.in/after-arrest-of-nuns-in-durg-christians-in-sehore-raipur-balasore-allegedly-attacked-over-forced-conversions/
Read | Nagpur clashes: Cryptic cauliflower memes referring to mass killings in 1989 Bhagalpur riots resurface,MISLEADING,en,altnews,https://www.altnews.in/after-maoist-deaths-bjp-karnataka-shares-cauliflower-meme-a-reference-to-the-1989-bhagalpur-riots/
"Right Wing propaganda outlet OpIndia wrote an article titled, “’35 क्या 36 टुकड़े भी कर देता… बस चाकू बजाते जाओ’: श्रद्धा मर्डर पर बुलंदशहर के राशिद खान को सुनिए, आफताब के किए को ठहरा रहा ‘जायज’”. In the article, they elaborated on the statements made by Khan in the interview. ( Archive )",MISLEADING,hi,altnews,https://www.altnews.in/after-social-media-outrage-rashid-khan-justifying-shraddha-murder-turns-out-to-be-vikas-kumar/
Why does the name Shami Aslam appear on TrueCaller?,MISLEADING,en,altnews,https://www.altnews.in/agneepath-scheme-protest-did-shami-aslam-pose-as-hindu-in-chat-inciting-violence/
"कहां से भरा जा रहा है इतना जहर? बुर्काधारी महिला को प्रभु श्रीराम से इतनी नफरत क्यों? सड़क पर स्कूटी खड़ी की और फिर प्रभु श्रीराम की तस्वीर पर अंडे फेंके महाराष्ट्र के छत्रपति संभाजीनगर की है घटना pic.twitter.com/gVngRA64LZ — Sudarshan News (@SudarshanNewsTV) May 20, 2023",MISLEADING,hi,altnews,https://www.altnews.in/aurangabad-mentally-disturbed-hindu-woman-defaces-image-of-lord-ram-video-viral-with-false-communal-claim/
"ये बहुत ही भयावह घटना है , शेयर करना जरूरी समझा। सभी बहन बेटियों से निवेदन है कि सतर्क रहें। आसपास हो रही गतिविधियों पर नज़र रखें। pic.twitter.com/N7fyUw7iu0 — अर्चना सिंह (आर्ची) (@archiepie11) November 28, 2021",MISLEADING,hi,altnews,https://www.altnews.in/awareness-video-of-kidnapping-a-women-falsely-shared-as-real-incident/
"बांग्लादेश में हिन्दू बच्चे की बेरहमी से हत्या !! मोहम्मद सोहेल और उसके दोस्तों ने मिलकर स्कूल के एक हिंदू लड़के निरोब मंडल को जान से मार दिया। pic.twitter.com/y2DVOIxKwT — Panchjanya (@epanchjanya) February 7, 2023",MISLEADING,hi,altnews,https://www.altnews.in/bangladesh-school-boy-murder-false-communal-claim-by-right-wing-handles/
"What is this ?? pic.twitter.com/vwCp2ZJa3M — Megh Updates ™ (@MeghUpdates) February 12, 2025",MISLEADING,en,altnews,https://www.altnews.in/beerbiceps-ranveer-allahbadia-crying-after-backlash-over-controversial-remarks-no-video-is-from-2021/
"Bengaluru: Muslims planning complete boycott of Hindus. “We must swear by prophet Muhammad and his children that we Momins will not get petrol at Hindu pumps, buy medicine from Hindu shops, or ride in their vehicles. If you boycott Hindus, then Allah will allow us into jannat.” pic.twitter.com/kVHm2kIayE — Rakesh Krishnan Simha (@ByRakeshSimha) June 29, 2023",MISLEADING,en,altnews,https://www.altnews.in/bengaluru-muslims-calling-for-boycott-of-hindus-2019-video-from-rajasthan-viral-with-misleading-claims/
Muslim girls who wear jeans end up in a room with Hindu boys,MISLEADING,en,altnews,https://www.altnews.in/bhagwa-love-trap-an-elaborate-conspiracy-theory-in-response-to-the-love-jihad-narrative/
[Warning: Visuals may be distressing for some. Reader discretion is advised.],MISLEADING,en,altnews,https://www.altnews.in/body-found-in-gurugram-womans-murder-by-husband-falsely-given-communal-twist/
"In Rajim, located in Gariband district of Chhattisgarh",MISLEADING,en,altnews,https://www.altnews.in/body-in-fridge-tableau-in-munger-shivratri-rally-islamophobia-hate-trounced-devotion-piety/
"बुलंदशहर में ज्वेलरी शॉप लूट के आरोपी अब्दुल को खुर्जा पुलिस ने किया ‘ढेर’ यूपी में योगी जी का साफ़ संदेश है, कि ‘अपराधी’ या अपराध छोड़ दे ,, या ‘उत्तर प्रदेश’ छोड़ दे। बाबा जी Rocks @myogiadityanath @dgpup pic.twitter.com/EkCM1KeQqy — Sagar Kumar “Sudarshan News” (@KumaarSaagar) January 3, 2023",MISLEADING,hi,altnews,https://www.altnews.in/bulandshahr-encounter-rw-handles-made-misleading-claim-to-add-communal-twist/
"दिल्ली जंतर मंतर पर मुसलमान और ईसाइयों को गोली मारने का एलान क्यों ? @neeraj_jhaa के साथ देखिए क्या देश में अब संविधान का कोई अर्थ नहीं : https://t.co/S3E6dJQVu2 ( पूरा वीडियो जरूर देखें ) स्पेस लिंक : https://t.co/eflOg6l0YK pic.twitter.com/DhwZUc6BH8 — Molitics (@moliticsindia) February 5, 2023",MISLEADING,hi,altnews,https://www.altnews.in/call-for-violence-against-muslims-and-christains-on-jantar-mantar-rally-in-support-of-dhirendra-shastri-and-suresh-chavhanke/
"This video will tell you why reservation is necessary. Has this discrimination happened with any Brahmin Baniya Thakur person ? pic.twitter.com/9rXfbqR44o — The Dalit Voice (@ambedkariteIND) August 18, 2023",MISLEADING,en,altnews,https://www.altnews.in/caste-discrimination-claim-false-viral-clip-an-awareness-video-by-bengaluru-sanitation-workers-during-pandemic/
"वीडियो को देखकर आपकी आंखें खुली की खुली रह जाएंगी पैर के नीचे की जमीन खिसक जाएगी कलेजा एक बार दहल जाएगा वीडियो कहां की है यह तो नहीं पता है वीडियो कहीं की भी हो प्रशासन को हरकत में आना चाहिए pic.twitter.com/EzMkXxmKXv — Sunil Yadav (@SunilYa59918245) July 6, 2022",MISLEADING,hi,altnews,https://www.altnews.in/child-theft-rumours-a-sordid-saga-unfolds-as-police-look-for-effective-measures/
"A tanker truck driven by Mohammed Firoz rammed into a Ganesh festival procession on NH-373 near Mosalehosalli village, Karnataka India. 4 people died on the spot and over 20 others are badly injured. Do you think this was intentional or just an accident? pic.twitter.com/4YdBvc53Eq — Burnol (@BurnolDaily) September 13, 2025",MISLEADING,en,altnews,https://www.altnews.in/claims-that-muslim-driver-deliberately-rammed-truck-into-ganesh-procession-in-hassan-karnataka-are-false/
"करौली और जोधपुर के बाद अब ‘धौलपुर’ में शांतिप्रिय समुदाय की पत्थरबाज़ी.. अब कौन भड़काऊ नारेबाजी हो रही थी या कौनसा रामनवमी का DJ बज रहा था जो पत्थरबाज़ी हो रही है ? @TajinderBagga @beingarun28 @MODIfiedVikas @IamAjaySehrawat @AjiHaaan @AnujBajpai_ pic.twitter.com/7OZ3DrkQis — Vikas Faujdar (@VikasFaujdar) May 26, 2022",MISLEADING,hi,altnews,https://www.altnews.in/clash-between-police-and-locals-in-rajasthans-dholpur-given-false-communal-spin/
"So, it is clear that the cleric from Furfura Sharif in Hooghly district of Bengal was not talking about Muslims waging a war against Hindus, but batting for competition among the communities over education, and calling for progress of all.",MISLEADING,en,altnews,https://www.altnews.in/clipped-video-viral-bengal-cleric-taha-siddiqui-didnt-ask-muslims-to-wage-war-against-hindus/
"भीलवाड़ा के सुभाष नगर थाना क्षेत्र सांगानेर ग्राम में ईद के मौके पर पाकिस्तान जिंदाबाद के नारे लगाए …. कितने देशद्रोहियों पर मुकदमा दर्ज कर कार्यवाही की गई ….? @DmBhilwara @PoliceRajasthan @RajPoliceHelp @Bhilwara_Police @BJP4Rajasthan @baheriasc @ladulaltelibjp pic.twitter.com/bwPdVuz6Xs — Sagar Pande (@MspandePande) May 12, 2022",MISLEADING,hi,altnews,https://www.altnews.in/dainik-bhakar-falsely-reports-pro-pak-chant-raised-in-bhilwara-based-on-old-video/
"#BreakingNow : दिल्‍ली में ASI शंभू दयाल पर हमले का #CCTV फुटेज आया सामने, 4 जनवरी को अनीस नाम के बदमाश ने किया था चाकुओं से हमला @rrakesh_pandey #DelhiCrime #ASI #DelhiPolice pic.twitter.com/QasmDlZdVd — Times Now Navbharat (@TNNavbharat) January 10, 2023",MISLEADING,hi,altnews,https://www.altnews.in/delhi-asi-murder-accused-is-anish-raj-not-mohd-anish-as-claimed-by-media/
"सऊदी अरब में दीपावली असली वाले मुसलमान धूमधाम से पटाखे फोड़ रहे हैं और उन्हीं के बीज से उत्पन्न नाजायज औलादे भारत में दीपावली के पटाखे से बिलबिला रहे हैं। pic.twitter.com/wrqtWFSsPO — Vaishali Mishra (@1VaishaliMishra) October 20, 2025",MISLEADING,hi,altnews,https://www.altnews.in/diwali-celebrated-in-dubai-and-saudi-arabia-with-fireworks-no-viral-video-is-of-uae-national-day-celebrations/
Alt News analysis: Pages that didn’t feature in Facebook’s release,MISLEADING,en,altnews,https://www.altnews.in/facebook-purge-the-curious-case-of-pages-that-did-not-feature-in-fb-press-release/
